Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,408,00:00:17.017,17.017,408,00:00:17.017,17.017
2,408,00:00:17.017,17.017,1844,00:01:16.910,76.910,1436,00:00:59.893,59.893
3,1844,00:01:16.910,76.910,2075,00:01:26.545,86.545,231,00:00:09.635,9.635
4,2075,00:01:26.545,86.545,2897,00:02:00.829,120.829,822,00:00:34.284,34.284
5,2897,00:02:00.829,120.829,3202,00:02:13.550,133.550,305,00:00:12.721,12.721
6,3202,00:02:13.550,133.550,4573,00:03:10.732,190.732,1371,00:00:57.182,57.182
7,4573,00:03:10.732,190.732,4956,00:03:26.706,206.706,383,00:00:15.974,15.974
8,4956,00:03:26.706,206.706,5346,00:03:42.973,222.973,390,00:00:16.266,16.266
9,5346,00:03:42.973,222.973,5417,00:03:45.934,225.934,71,00:00:02.961,2.961
10,5417,00:03:45.934,225.934,5474,00:03:48.311,228.311,57,00:00:02.377,2.377
11,5474,00:03:48.311,228.311,5531,00:03:50.689,230.689,57,00:00:02.377,2.377
12,5531,00:03:50.689,230.689,5700,00:03:57.737,237.737,169,00:00:07.049,7.049
13,5700,00:03:57.737,237.737,5865,00:04:04.619,244.619,165,00:00:06.882,6.882
14,5865,00:04:04.619,244.619,6028,00:04:11.418,251.418,163,00:00:06.798,6.798
15,6028,00:04:11.418,251.418,6228,00:04:19.760,259.760,200,00:00:08.342,8.342
16,6228,00:04:19.760,259.760,6422,00:04:27.851,267.851,194,00:00:08.091,8.091
17,6422,00:04:27.851,267.851,6586,00:04:34.691,274.691,164,00:00:06.840,6.840
18,6586,00:04:34.691,274.691,7056,00:04:54.294,294.294,470,00:00:19.603,19.603
19,7056,00:04:54.294,294.294,7221,00:05:01.176,301.176,165,00:00:06.882,6.882
20,7221,00:05:01.176,301.176,7399,00:05:08.600,308.600,178,00:00:07.424,7.424
21,7399,00:05:08.600,308.600,8273,00:05:45.053,345.053,874,00:00:36.453,36.453
22,8273,00:05:45.053,345.053,8442,00:05:52.102,352.102,169,00:00:07.049,7.049
23,8442,00:05:52.102,352.102,8608,00:05:59.025,359.025,166,00:00:06.924,6.924
24,8608,00:05:59.025,359.025,8916,00:06:11.871,371.871,308,00:00:12.846,12.846
25,8916,00:06:11.871,371.871,9108,00:06:19.879,379.879,192,00:00:08.008,8.008
26,9108,00:06:19.879,379.879,9174,00:06:22.632,382.632,66,00:00:02.753,2.753
27,9174,00:06:22.632,382.632,9218,00:06:24.467,384.467,44,00:00:01.835,1.835
28,9218,00:06:24.467,384.467,9510,00:06:36.646,396.646,292,00:00:12.179,12.179
29,9510,00:06:36.646,396.646,10225,00:07:06.468,426.468,715,00:00:29.821,29.821
30,10225,00:07:06.468,426.468,10399,00:07:13.725,433.725,174,00:00:07.257,7.257
31,10399,00:07:13.725,433.725,10782,00:07:29.699,449.699,383,00:00:15.974,15.974
32,10782,00:07:29.699,449.699,11693,00:08:07.696,487.696,911,00:00:37.996,37.996
33,11693,00:08:07.696,487.696,12488,00:08:40.854,520.854,795,00:00:33.158,33.158
34,12488,00:08:40.854,520.854,12809,00:08:54.242,534.242,321,00:00:13.388,13.388
35,12809,00:08:54.242,534.242,12979,00:09:01.332,541.332,170,00:00:07.090,7.090
36,12979,00:09:01.332,541.332,13030,00:09:03.460,543.460,51,00:00:02.127,2.127
37,13030,00:09:03.460,543.460,13090,00:09:05.962,545.962,60,00:00:02.502,2.502
38,13090,00:09:05.962,545.962,13181,00:09:09.758,549.758,91,00:00:03.795,3.795
39,13181,00:09:09.758,549.758,13415,00:09:19.517,559.517,234,00:00:09.760,9.760
40,13415,00:09:19.517,559.517,13880,00:09:38.912,578.912,465,00:00:19.394,19.394
41,13880,00:09:38.912,578.912,13955,00:09:42.040,582.040,75,00:00:03.128,3.128
42,13955,00:09:42.040,582.040,14444,00:10:02.435,602.435,489,00:00:20.395,20.395
43,14444,00:10:02.435,602.435,14588,00:10:08.441,608.441,144,00:00:06.006,6.006
44,14588,00:10:08.441,608.441,14855,00:10:19.577,619.577,267,00:00:11.136,11.136
45,14855,00:10:19.577,619.577,14895,00:10:21.246,621.246,40,00:00:01.668,1.668
46,14895,00:10:21.246,621.246,15076,00:10:28.795,628.795,181,00:00:07.549,7.549
47,15076,00:10:28.795,628.795,15343,00:10:39.931,639.931,267,00:00:11.136,11.136
48,15343,00:10:39.931,639.931,16973,00:11:47.916,707.916,1630,00:01:07.985,67.985
49,16973,00:11:47.916,707.916,17090,00:11:52.795,712.795,117,00:00:04.880,4.880
50,17090,00:11:52.795,712.795,17388,00:12:05.224,725.224,298,00:00:12.429,12.429
51,17388,00:12:05.224,725.224,17627,00:12:15.193,735.193,239,00:00:09.968,9.968
52,17627,00:12:15.193,735.193,17815,00:12:23.034,743.034,188,00:00:07.841,7.841
53,17815,00:12:23.034,743.034,18306,00:12:43.513,763.513,491,00:00:20.479,20.479
54,18306,00:12:43.513,763.513,18557,00:12:53.982,773.982,251,00:00:10.469,10.469
55,18557,00:12:53.982,773.982,19154,00:13:18.881,798.881,597,00:00:24.900,24.900
56,19154,00:13:18.881,798.881,19391,00:13:28.766,808.766,237,00:00:09.885,9.885
57,19391,00:13:28.766,808.766,21049,00:14:37.919,877.919,1658,00:01:09.152,69.152
58,21049,00:14:37.919,877.919,21557,00:14:59.107,899.107,508,00:00:21.188,21.188
59,21557,00:14:59.107,899.107,21817,00:15:09.951,909.951,260,00:00:10.844,10.844
60,21817,00:15:09.951,909.951,21941,00:15:15.123,915.123,124,00:00:05.172,5.172
61,21941,00:15:15.123,915.123,22314,00:15:30.680,930.680,373,00:00:15.557,15.557
62,22314,00:15:30.680,930.680,22817,00:15:51.659,951.659,503,00:00:20.979,20.979
63,22817,00:15:51.659,951.659,23091,00:16:03.087,963.087,274,00:00:11.428,11.428
64,23091,00:16:03.087,963.087,23148,00:16:05.464,965.464,57,00:00:02.377,2.377
65,23148,00:16:05.464,965.464,23245,00:16:09.510,969.510,97,00:00:04.046,4.046
66,23245,00:16:09.510,969.510,23489,00:16:19.687,979.687,244,00:00:10.177,10.177
67,23489,00:16:19.687,979.687,23659,00:16:26.777,986.777,170,00:00:07.090,7.090
68,23659,00:16:26.777,986.777,24084,00:16:44.503,1004.503,425,00:00:17.726,17.726
69,24084,00:16:44.503,1004.503,24293,00:16:53.221,1013.221,209,00:00:08.717,8.717
70,24293,00:16:53.221,1013.221,24686,00:17:09.612,1029.612,393,00:00:16.391,16.391
71,24686,00:17:09.612,1029.612,24786,00:17:13.783,1033.783,100,00:00:04.171,4.171
72,24786,00:17:13.783,1033.783,24830,00:17:15.618,1035.618,44,00:00:01.835,1.835
73,24830,00:17:15.618,1035.618,25078,00:17:25.962,1045.962,248,00:00:10.344,10.344
74,25078,00:17:25.962,1045.962,25355,00:17:37.515,1057.515,277,00:00:11.553,11.553
75,25355,00:17:37.515,1057.515,25495,00:17:43.354,1063.354,140,00:00:05.839,5.839
76,25495,00:17:43.354,1063.354,25638,00:17:49.318,1069.318,143,00:00:05.964,5.964
77,25638,00:17:49.318,1069.318,26094,00:18:08.337,1088.337,456,00:00:19.019,19.019
78,26094,00:18:08.337,1088.337,26404,00:18:21.267,1101.267,310,00:00:12.930,12.930
79,26404,00:18:21.267,1101.267,26839,00:18:39.410,1119.410,435,00:00:18.143,18.143
80,26839,00:18:39.410,1119.410,27238,00:18:56.052,1136.052,399,00:00:16.642,16.642
81,27238,00:18:56.052,1136.052,27353,00:19:00.848,1140.848,115,00:00:04.796,4.796
82,27353,00:19:00.848,1140.848,27628,00:19:12.318,1152.318,275,00:00:11.470,11.470
83,27628,00:19:12.318,1152.318,27788,00:19:18.991,1158.991,160,00:00:06.673,6.673
84,27788,00:19:18.991,1158.991,27884,00:19:22.995,1162.995,96,00:00:04.004,4.004
85,27884,00:19:22.995,1162.995,28097,00:19:31.879,1171.879,213,00:00:08.884,8.884
86,28097,00:19:31.879,1171.879,28154,00:19:34.256,1174.256,57,00:00:02.377,2.377
87,28154,00:19:34.256,1174.256,28415,00:19:45.142,1185.142,261,00:00:10.886,10.886
88,28415,00:19:45.142,1185.142,28654,00:19:55.111,1195.111,239,00:00:09.968,9.968
89,28654,00:19:55.111,1195.111,28980,00:20:08.707,1208.707,326,00:00:13.597,13.597
90,28980,00:20:08.707,1208.707,29193,00:20:17.591,1217.591,213,00:00:08.884,8.884
91,29193,00:20:17.591,1217.591,29342,00:20:23.806,1223.806,149,00:00:06.215,6.215
92,29342,00:20:23.806,1223.806,29541,00:20:32.106,1232.106,199,00:00:08.300,8.300
93,29541,00:20:32.106,1232.106,29680,00:20:37.903,1237.903,139,00:00:05.797,5.797
94,29680,00:20:37.903,1237.903,29848,00:20:44.910,1244.910,168,00:00:07.007,7.007
95,29848,00:20:44.910,1244.910,29945,00:20:48.956,1248.956,97,00:00:04.046,4.046
96,29945,00:20:48.956,1248.956,30164,00:20:58.090,1258.090,219,00:00:09.134,9.134
97,30164,00:20:58.090,1258.090,30752,00:21:22.615,1282.615,588,00:00:24.524,24.524
98,30752,00:21:22.615,1282.615,30875,00:21:27.745,1287.745,123,00:00:05.130,5.130
99,30875,00:21:27.745,1287.745,31433,00:21:51.018,1311.018,558,00:00:23.273,23.273
100,31433,00:21:51.018,1311.018,31546,00:21:55.731,1315.731,113,00:00:04.713,4.713
101,31546,00:21:55.731,1315.731,31634,00:21:59.401,1319.401,88,00:00:03.670,3.670
102,31634,00:21:59.401,1319.401,31752,00:22:04.323,1324.323,118,00:00:04.922,4.922
103,31752,00:22:04.323,1324.323,32046,00:22:16.585,1336.585,294,00:00:12.262,12.262
104,32046,00:22:16.585,1336.585,32138,00:22:20.422,1340.422,92,00:00:03.837,3.837
105,32138,00:22:20.422,1340.422,32431,00:22:32.643,1352.643,293,00:00:12.221,12.221
106,32431,00:22:32.643,1352.643,32493,00:22:35.229,1355.229,62,00:00:02.586,2.586
107,32493,00:22:35.229,1355.229,32864,00:22:50.703,1370.703,371,00:00:15.474,15.474
108,32864,00:22:50.703,1370.703,33100,00:23:00.546,1380.546,236,00:00:09.843,9.843
109,33100,00:23:00.546,1380.546,33256,00:23:07.052,1387.052,156,00:00:06.506,6.506
110,33256,00:23:07.052,1387.052,33362,00:23:11.473,1391.473,106,00:00:04.421,4.421
111,33362,00:23:11.473,1391.473,33446,00:23:14.977,1394.977,84,00:00:03.503,3.503
112,33446,00:23:14.977,1394.977,33585,00:23:20.774,1400.774,139,00:00:05.797,5.797
113,33585,00:23:20.774,1400.774,34001,00:23:38.125,1418.125,416,00:00:17.351,17.351
114,34001,00:23:38.125,1418.125,34449,00:23:56.810,1436.810,448,00:00:18.685,18.685
115,34449,00:23:56.810,1436.810,34653,00:24:05.319,1445.319,204,00:00:08.508,8.508
116,34653,00:24:05.319,1445.319,34844,00:24:13.285,1453.285,191,00:00:07.966,7.966
117,34844,00:24:13.285,1453.285,35165,00:24:26.674,1466.674,321,00:00:13.388,13.388
118,35165,00:24:26.674,1466.674,35547,00:24:42.606,1482.606,382,00:00:15.933,15.933
119,35547,00:24:42.606,1482.606,35678,00:24:48.070,1488.070,131,00:00:05.464,5.464
120,35678,00:24:48.070,1488.070,35973,00:25:00.374,1500.374,295,00:00:12.304,12.304
121,35973,00:25:00.374,1500.374,36170,00:25:08.590,1508.590,197,00:00:08.217,8.217
